p_id,name,price,colour,brand,ratingcount,avg_rating,brand_id,occasion,pattern,print or pattern type,fabric,wash care,sustainable,body or garment size,length
15689184,Chemistry Women Blue Pure Cotton Jeans,1999.0,Blue,Chemistry,0.0,0.0,171,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Cropped
14231718,Chemistry Women Mustard Colourblocked Mock-Collar Regular Puffer Jacket,3899.0,Mustard,Chemistry,35.0,4.485714286,171,Casual,Colourblocked,Colourblocked,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
13719116,Athena Chic Fuchsia Pink Power Shoulders Top,1299.0,Fuchsia,Athena,11553.0,4.5281745,95,Casual,Solid,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
11634534,Athena Women Burgundy Solid Basic Jumpsuit,2499.0,Burgundy,Athena,1983.0,4.357034796000001,95,Casual,Solid,Solid,Polyester,Hand Wash,Regular,Garment Measurements in,Regular
13736998,Athena White Tie-Up Neck Puff Sleeves Lace Top,1699.0,White,Athena,2200.0,4.19,95,Casual,Self Design,Self Design,Polyester,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Regular
15715754,Athena Women Fuchsia Solid Top with Skirt,2999.0,Fuchsia,Athena,54.0,3.87037037,95,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14063400,Athena Black Floral Printed Puff Sleeves Smocked Georgette Regular Crop Top,1499.0,Black,Athena,2526.0,4.28226445,95,Casual,Printed,Floral,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Crop
17251600,Athena Women Black Shorts,1499.0,Black,Athena,20.0,4.6,95,Casual,Solid,Solid,Polyester,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Above Knee
17761838,Athena Women Bright Orange Printed T-shirt with Trousers,2499.0,Orange,Athena,0.0,0.0,95,Casual,Solid,Solid,Cotton,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Regular
18121952,Athena Women Black Solid Cut-Out Detail Basic Jumpsuit,2999.0,Black,Athena,8.0,3.625,95,Casual,Solid,Solid,Polyester,Hand Wash,Regular,Garment Measurements in,Regular
17761824,Athena Women Classic Black Solid Top with Trousers,2999.0,Black,Athena,0.0,0.0,95,Casual,Solid,Solid,Cotton,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Regular
18121954,Athena Women Pretty Pink Solid Feminine Frills Jumpsuit,2999.0,Pink,Athena,0.0,0.0,95,Casual,Solid,Solid,Polyester,Hand Wash,Regular,Garment Measurements in,Regular
15980662,Athena Women Sea Green Velvet Basic Jumpsuit,2999.0,Sea Green,Athena,31.0,4.516129032,95,Party,Solid,Solid,Polyester,Dry Clean,Regular,Garment Measurements in,Regular
17761828,Athena Women Stylish Green Solid Top with Trousers,2499.0,Green,Athena,0.0,0.0,95,Casual,Solid,Solid,Cotton,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Regular
11151684,Athena Women Grey Solid Single Breasted Blazer,3495.0,Grey,Athena,12.0,3.5,95,Casual,Solid,Solid,Wool Blend,Dry Clean,Regular,Garment Measurements in,Regular
11035298,Athena Women White Solid Sweatshirt,1799.0,White,Athena,563.0,4.0,95,Casual,Solid,Solid,Polyester,Hand Wash,Regular,Garment Measurements in,Regular
18121932,Athena Women Elegant Lavender Solid Feminine Frills Jumpsuit,2999.0,Lavender,Athena,0.0,0.0,95,Casual,Solid,Solid,Polyester,Hand Wash,Regular,Garment Measurements in,Regular
15300920,Athena Women Striking Coral Sleek Coat with Skirt,3999.0,Coral,Athena,13.0,4.0,95,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
15301002,Athena Black Jumpsuit with Waist Cutout Detail,2299.0,Black,Athena,7.0,4.285714286,95,Casual,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
12086086,Athena Women Burgundy Solid Pencil Midi Skirt,1299.0,Burgundy,Athena,304.0,4.177631579,95,Casual,Solid,Solid,Polyester,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Midi
17761814,Athena Women Trendy Beige Solid Top with Shorts,2299.0,Beige,Athena,0.0,0.0,95,Casual,Solid,Solid,Cotton,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Regular
13709580,Athena Lavender Bell Sleeves Smocking Crop Georgette Top,1499.0,Lavender,Athena,985.0,4.365482234,95,Casual,Solid,Solid,Polyester,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Crop
18121942,Athena Women Charcoal Solid Cut Out Jumpsuit,2999.0,Charcoal,Athena,0.0,0.0,95,Casual,Solid,Solid,Polyester,Hand Wash,Regular,Garment Measurements in,Regular
11166548,Athena Women Burgundy Solid Tailored Suede Jacket,2999.0,Burgundy,Athena,0.0,0.0,95,Casual,Solid,Solid,Suede,Dry Clean,Regular,Garment Measurements in,Regular
13736992,Athena Women Pink Solid Basic Jumpsuit,2299.0,Pink,Athena,17.0,4.705882353,95,Casual,Solid,Solid,Polyester,Machine Wash,Regular,Garment Measurements in,Regular
18961738,Athena Teal Embellished Off-Shoulder Smocked Crop Top,1699.0,Teal,Athena,5.0,3.6,95,Party,Embellished,Embellished,Polyester,Hand Wash,Regular,To-Fit Denotes Body Measurements in,Crop
13719140,Athena Trendy Mauve Power Shoulders Peplum Top,1499.0,Mauve,Athena,288.0,4.309027778,95,Casual,Solid,Solid,Pure Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
