p_id,name,price,colour,brand,ratingcount,avg_rating,description,brand_id,occasion,pattern,print or pattern type,fabric,wash care,sustainable,body or garment size,length
17197750,Mast & Harbour Women Teal Blue & White Striped Trousers,2399.0,Teal,Mast & Harbour,0.0,0.0,"Teal blue and white woven trousersRegular fitMid-riseLength: regularPattern: stripedFlat-front, with no pleats designFeature: plain2 pocketsComes with a beltSize worn by the model: SWaist: 24""Hips: 34""Height: 5'5""Polyester  Machine wash",554,Casual,Striped,Striped,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
17197760,Mast & Harbour Women Rust Orange Solid Trousers,2699.0,Rust,Mast & Harbour,0.0,0.0,"Rust orange woven trousersRegular fitMid-riseLength: regularPattern: solidFlat-front, with no pleats designFeature: plain2 pockets80% Cotton , 20% LinenMachine wash Fit: Regular Fit  The model (height 5'8) is wearing a size 28",554,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
15497784,Mast & Harbour Navy Blue & White Embroidered Tie-Up Neck Top,1699.0,Navy Blue,Mast & Harbour,14.0,4.3571428569999995,"Navy blue and white regular top   Ethnic motifs embroidered   Tie-up neck,  three-quarter,  puff sleeve sleeves   Gathered or pleated detail   Woven  Viscose rayon  Machine washThe model (height 5'8) is wearing a size S",554,Casual,Embroidered,Ethnic Motifs,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
15287380,Mast & Harbour Women Maroon & White Colourblocked Hooded Bomber Jacket,3699.0,Maroon,Mast & Harbour,24.0,4.291666667,"Maroon, white and beige colourblocked bomber jacket, has a hood, 2 pockets ,has a zip closure, long sleeves, straight hemline, polyester liningThe model (height 5'8) is wearing a size SOuter shell: Polyester  Lining fabric: Polyester  Machine wash",554,Casual,Colourblocked,Colourblocked,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
15287420,Mast & Harbour Women Navy Blue Solid Cinched Waist Jumpsuit,2199.0,Navy Blue,Mast & Harbour,41.0,4.390243902,"A blend of style and allure, this jumpsuit is ideal for your next outing. Well-crafted with a shirt collar and short sleeves, this jumpsuit lends a playful look.&nbsp;Navy blue shadeClassic solid patternShirt collarShort sleevesPolyester, machine washTrend AlertA garment with a cinched waist typically has a tie-up waist or elasticated waist that is relaxed at both ends. A cinched waist helps define the body shape and lends a slimming effect.100% polyesterMachine washThe model (height 5'8) is wearing a size S",554,Casual,Solid,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14485224,Mast & Harbour Women Red & White Colourblocked Bomber Jacket,2999.0,Red,Mast & Harbour,37.0,4.297297297,"Red, white and blue colourblocked bomber jacket, has a mock collar, 2 pockets ,has a zip closure, long sleeves, straight hemline, polyester liningOuter shell: Polyester  Lining fabric: Polyester  Machine washThe model (height 5'8) is wearing a size S",554,Casual,Colourblocked,Colourblocked,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
10662670,Mast & Harbour Women Pink Solid Basic Jumpsuit,1899.0,Pink,Mast & Harbour,58.0,3.8103448280000003,"Pink solid basic jumpsuit with waist tie-ups, has a round neck, short sleeves, 2 pocketsThe model (height 5'8'') is wearing a size SMaterial: 100% PolyesterMachine Wash",554,Casual,Solid,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
12108254,Mast & Harbour Women Blue Solid Corduroy Bomber,4699.0,Blue,Mast & Harbour,181.0,4.403314916999999,"Blue solid corduroy jacket, has a spread collar, 2 box pockets, zip closure, long sleeves, straight hem, and polyester liningThe model (height 5'8"") is wearing a size SMaterial: Shell: 90% polyester, 9% nylon and 1% elastaneLining: 100% polyesterMachine Wash",554,Casual,Solid,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14485212,Mast & Harbour Women Navy Blue & Red Colourblocked Padded Jacket,3499.0,Navy Blue,Mast & Harbour,13.0,4.538461538,"Navy blue and red colourblocked padded jacket, has a mock collar, 2 pockets ,has a zip closure, long sleeves, straight hemline, without liningOuter shell: Polyester  Lining fabric: Unlined  Machine washThe model (height 5'8) is wearing a size S",554,Casual,Colourblocked,Colourblocked,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14364140,Mast & Harbour Women Blue Colourblocked Tailored Jacket,2799.0,Blue,Mast & Harbour,54.0,4.240740741000001,"Blue colourblocked tailored jacket,  has a mock collar,  2  pockets ,has a zip closure, long sleeves,  straight  hemline, polyester  liningThe model (height 5'8) is wearing a size SOuter shell: Polyester  Lining fabric: Polyester  Machine wash",554,Casual,Colourblocked,Colourblocked,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
15287388,Mast & Harbour Women Navy Blue Solid Padded Jacket,4299.0,Navy Blue,Mast & Harbour,17.0,4.2352941180000006,"Navy blue solid padded jacket, has a mock collar, 2 pockets ,has a snap button and zip closure, long sleeves, straight hemline with toggle, polyester liningOuter shell: 100% PolyesterLining fabric: 100% PolyesterMachine washThe model (height 5'8) is wearing a size S",554,Casual,Solid,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
11973140,Mast & Harbour Women Grey Solid Puffer Jacket,3499.0,Grey,Mast & Harbour,103.0,4.087378641,"Grey solid puffer jacket, has a mock collar, 2 pockets, zip closure, long sleeves, straight hem, and attached lining with 1 in-built pocketThe model (height 5'8"") is wearing a size SMaterial: 100% polyesterMachine Wash",554,Casual,Solid,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
14006524,Mast & Harbour Women Black Flared Stretchable Jeans,1999.0,Black,Mast & Harbour,268.0,3.9253731339999995,"No fade black jeansFlared, mid-riseClean lookStretchable5 pocketLength: regular99% cotton , 1% elastaneMachine washFit: FlaredStretchableThe model (height 5'8) is wearing a size 28",554,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Regular
11973386,Mast & Harbour Women Green Solid Padded Jacket,4299.0,Green,Mast & Harbour,82.0,4.390243902,"Green solid jacket, has a mock collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester liningThe model (height 5'8"") is wearing a size SMaterial: Polyester  Dry Clean",554,Casual,Solid,Solid,Polyester,Dry Clean,Regular,To-Fit Denotes Body Measurements in,Regular
